the,[ðə],то;определенный артикль
lesson,[ˈlesn],раздел;урок
map,[mæp],отображать;карта
opportunity,[ˌɒpəˈtjuːnəti],возможность
recognize,[ˈrekəɡnaɪz],признавать;распознавать;осознавать
accord,[əˈkɔːd],согласовывать;согласие
marriage,[ˈmærɪdʒ],брак;женитьба
colon,[ˈkəʊ.lɒn],двоеточие
freeze,[friːz],замораживать;замерзать;замораживание
hotel,[həʊˈtel],отель
stumble,[ˈstʌm.bl̩],спотыкаться;запинаться
include,[ɪnˈkluːd],включать
midnight,[ˈmɪdnaɪt],полночь
refuse,[rɪˈfjuːz],отклонять;отказываться
fully,[ˈfʊli],полностью
wipe,[waɪp],стирать;стирание
choke,[tʃəʊk],душить;задыхаться;насос
glitter,[ˈɡlɪt.ər],блестеть;блеск
period,[ˈpɪəriəd],период;точка
feeling,[ˈfiːlɪŋ],чувствовать;чувство
grand,[ɡrænd],большой
system,[ˈsɪstəm],система;системный
bitter,[ˈbɪtə(r)],горький;жестоко
dye,[daɪ],красить;краска
forgive,[fəˈɡɪv],прощать
motion,[ˈməʊʃn],движение;перемещение;юрид)ходатайство
rep,[rep],реп;повтор
handsome,[ˈhæn.səm],красивый
frown,[fraʊn],хмурить
stage,[steɪdʒ],этап;сцена;астр)ступень
type,[taɪp],набирать;тип
beast,[biːst],зверь
bread,[bred],хлеб
excellent,[ˈeksələnt],отлично;отличный
ourself,[-],мы сами;мы сами себя
patient,[ˈpeɪʃnt],пациент;терпеливый
team,[tiːm],группа
trick,[trɪk],хитрость
difference,[ˈdɪfrəns],различие;отличие
kindle,[ˈkɪn.dl̩],разжигать
pursue,[pəˈsjuː],преследовать;проводить;заниматься
snake,[sneɪk],змея;змеиный
blink,[blɪŋk],мигать;мигание
dick,[dɪk],дик
lone,[ləʊn],одинокий
mount,[maʊnt],устанавливать;взбираться;гора;крепление
security,[sɪˈkjʊərəti],безопасность
trail,[treɪl],след
whistle,[ˈwɪsl],свистеть;свист;свисток
fetch,[fetʃ],выбирать;выборка
proceed,[prəˈsiːd],продолжать;приступать
bit,[bɪt],кусать;сцепляться;бит;кусочек;битовый
bob,[bɒb],стричь;рывок;поплавок;боб
cap,[kæp],закрывать;колпачок
habit,[ˈhæbɪt],привычка
convince,[kənˈvɪns],убеждать
feature,[ˈfiːtʃə(r)],представлять;характеристика
fling,[flɪŋ],кидать;бросок
measure,[ˈmeʒə(r)],измерять;мера
peak,[piːk],пик;максимальный
fun,[fʌn],шутка;забавный
rear,[rɪə(r)],сооружать;задняя;сторона;задний
bother,[ˈbɒðə(r)],мешать;беспокойство
hate,[heɪt],ненавидеть;ненависть
operation,[ˌɒpəˈreɪʃn],действие;инф)операция;управление
spare,[speə(r)],беречь;щадить;жалеть;избавлять;запас;свободный
conscious,[ˈkɒnʃəs],сознательный
happiness,[ˈhæp.i.nəs],счастье
support,[səˈpɔːt],поддерживать;поддержка
trip,[trɪp],поездка
constant,[ˈkɒnstənt],константа;постоянный
keen,[kiːn],острый;стремящийся
lightning,[ˈlaɪt.nɪŋ],молния
strain,[streɪn],напрягать;напряжение
arrange,[əˈreɪndʒ],размещать
backward,[ˈbækwəd],назад;отсталый
clever,[ˈklevə(r)],умный
lane,[leɪn],дорожка;тропинка;переулок;авто);полоса движения
teacher,[ˈtiːtʃə(r)],учитель
vision,[ˈvɪʒn],зрение;вид
claim,[kleɪm],требовать;призываться;претензия;иск
laughter,[ˈlɑːf.tər],смех
loss,[lɒs],убыток;потеря
noble,[ˈnəʊ.bl̩],благородный
riddle,[ˈrɪd.l̩],загадка
vain,[veɪn],напрасный
dart,[dɑːt],вытачка;стрела
doom,[duːm],обрекать;судьба;погибель
evidence,[ˈevɪdəns],подтверждение
fierce,[fɪəs],свирепый
involve,[ɪnˈvɒlv],включать;связывать
king,[kɪŋ],король
pool,[puːl],пул
thunder,[ˈθʌn.dər],греметь;гром
test,[test],тестировать;тест
total,[ˈtəʊtl],составлять;итог;общий
joke,[dʒəʊk],шутить;шутка
peculiar,[pɪˈkjuː.li.ər],специфический;типичный
polite,[pəˈlaɪt],вежливый
cease,[siːs],прекращать
cruel,[ˈkruːəl],жестоко;жестокий
thoughtful,[ˈθɔːt.fəl],внимательный
definite,[ˈdefɪnət],определенный
legend,[ˈledʒ.ənd],легенда
sand,[sænd],песок
blame,[bleɪm],обвинять;вина
chin,[tʃɪn],подбородок
root,[ruːt],ботан)корень;корневой
engine,[ˈendʒɪn],двигатель;машинный
hesitate,[ˈhezɪteɪt],сомневаться
hungry,[ˈhʌŋɡri],голодный
neat,[niːt],хороший
pride,[praɪd],гордость
roger,[ˈrɒdʒ.ər],роджер
trot,[trɒt],рысить;рысь
ignore,[ɪɡˈnɔː(r)],игнорировать
interrupt,[ˌɪntəˈrʌpt],прерывать;прерывание
original,[əˈrɪdʒənl],подлинник;оригинальный;исходный
possess,[pəˈzes],обладать
stomach,[ˈstʌmək],желудок;желудочный
torch,[tɔːtʃ],факел;фонарь
whilst,[waɪl],пока
christmas,[ˈkrɪs.məs],рождество;рождественнский
lucky,[ˈlʌki],счастливый
nearest,[nɪər],ближайший
puzzle,[ˈpʌz.l̩],озадачивать;задача
spider,[ˈspaɪdə(r)],паук;паучий
temple,[ˈtem.pl̩],висок;храм
upper,[ˈʌpə(r)],верхний
baby,[ˈbeɪbi],младенец;детский
despite,[dɪˈspaɪt],несмотря на
scratch,[skrætʃ],царапать;царапина;временный
waste,[weɪst],тратить;отход;геол) пустая;порода
confidence,[ˈkɒnfɪdəns],доверие;уверенность
nigger,[ˈnɪɡ.ər],негр
seal,[siːl],заделывать;печать;тюлень
trap,[træp],перехватывать;ловушка;инф)прерывание
upstairs,[ˌʌpˈsteəz],наверх;наверху
curiosity,[ˌkjʊə.riˈɒs.ɪ.ti],любопытство
require,[rɪˈkwaɪə(r)],требовать
bark,[bɑːk],лаять;лай;кора
driver,[ˈdraɪvə(r)],водитель;инф)драйвер;драйверный
hasty,[ˈheɪ.sti],поспешный
innocent,[ˈɪnəsnt],невиновный
plant,[plɑːnt],устанавливать;завод;ботан)растение
treasure,[ˈtreʒ.ər],сокровище;ценный
universe,[ˈjuːnɪvɜːs],вселенная;мир
william,[-],вильям
alien,[ˈeɪ.li.ən],отчуждать;иностранец;чуждый
due,[djuː],точно;подлежащий;должный
heel,[hiːl],каблук;пятка
inquire,[ɪnˈkwaɪər],запрашивать
moonlight,[ˈmuːn.laɪt],лунный;свет
attend,[əˈtend],посещать
haunt,[hɔːnt],преследовать;обитать;призрак
steam,[stiːm],парить;пар
farther,[ˈfɑːðə(r)],далее
forbid,[fəˈbɪd],запрещать
mix,[mɪks],смешивать;смешивание;структура
print,[prɪnt],печатать;издавать;отпечаток;инф)распечатка
quality,[ˈkwɒləti],качество
armor,[ˈɑː.mər],броня
colonel,[ˈkɜː.nəl],полковник
diary,[ˈdaɪəri],дневник
hollow,[ˈhɒləʊ],долбить;дупло;полый;пустой
intend,[ɪnˈtend],предполагать;собираться;предназначаться
region,[ˈriːdʒən],регион;инф)область
swim,[swɪm],плавать;плавание;поплыть
upward,[ˈʌpwəd],вверх
wrist,[rɪst],запястье;ручной
hood,[hʊd],капот;капюшон
prevent,[prɪˈvent],предохранять;предотвращать;мешать;предотвращение
whenever,[wenˈevə(r)],всякий раз;когда
wolf,[wʊlf],волк
amount,[əˈmaʊnt],составлять;сумма;объем
anger,[ˈæŋɡə(r)],гнев
descend,[dɪˈsend],сходить
coach,[kəʊtʃ],тренировать;тренер;экипаж;вагон
credit,[ˈkredɪt],кредитовать;кредит;доверие;кредитный
invisible,[ɪnˈvɪz.ɪ.bl̩],невидимый
pant,[pænt],задыхаться;вздох
patch,[pætʃ],исправлять;корректор;воен)нашивка
sweat,[swet],потеть;пот
club,[klʌb],ударять;клуб
date,[deɪt],датировать;дата
excitement,[ɪkˈsaɪtmənt],возбуждение
heat,[hiːt],нагревать;тепло;жара
nerve,[nɜːv],нерв;нервный
bay,[beɪ],ставить в безвыходное положение;бухта;залив;панель
emerge,[iˈmɜːdʒ],возникать
everywhere,[ˈevriweə(r)],везде
fault,[fɔːlt],дефект;дефектный
fog,[fɒɡ],туман
separate,[ˈseprət],разделять;отдельный
stiff,[stɪf],негнущийся
truck,[trʌk],грузовик
exclaim,[ɪkˈskleɪm],восклицать
flicker,[ˈflɪk.ər],мерцать;мерцание
miserable,[ˈmɪz.ər.ə.bl̩],несчастный;жалкий
staff,[stɑːf],персонал
brave,[breɪv],смелый
crime,[kraɪm],преступление
existence,[ɪɡˈzɪstəns],существование
oblige,[əˈblaɪdʒ],обязывать
thrust,[θrʌst],толкать;тяга;толчок
wrap,[ræp],завертывать
poison,[ˈpɔɪzn],отравлять;яд
swallow,[ˈswɒləʊ],поглощать;глотать;ласточка
delicate,[ˈdelɪkət],деликатный;хрупкий
jaw,[dʒɔː],челюсть
meal,[miːl],еда
mental,[ˈmentl],умственный
vault,[vɒlt],перепрыгивать;хранилище;склеп
bedroom,[ˈbedruːm],спальня
current,[ˈkʌrənt],течение;элек)ток;текущий;современный
frequent,[ˈfriːkwənt],частый;распространенный
summon,[ˈsʌm.ən],вызывать;созывать
cook,[kʊk],готовить;повар;кук;поваренный
pace,[peɪs],темп;шаг
scrap,[skræp],выбрасывать;конфетти
color,[ˈkʌl.ər],окрашивать;цвет;цветной
gloom,[ɡluːm],мрак
okay,[ˌəʊˈkeɪ],окей
source,[sɔːs],источник;исходный
teach,[tiːtʃ],учить
conceal,[kənˈsiːl],скрывать
department,[dɪˈpɑːtmənt],отдел
instrument,[ˈɪnstrəmənt],инструмент;орудие;прибор;докм)документ
reflect,[rɪˈflekt],отражать
release,[rɪˈliːs],выпускать;выпуск;инф)версия
shade,[ʃeɪd],затенять;оттенок;тень;экран
signal,[ˈsɪɡnəl],сигнализировать;сигнал;сигнальный
suspicion,[səˈspɪʃn],подозрение
amaze,[əˈmeɪz],изумлять
latter,[ˈlætə(r)],последний
pardon,[ˈpɑː.dən],прощать;прощение
squeeze,[skwiːz],сжимать
violent,[ˈvaɪələnt],сильный
bye,[baɪ],пока
considerable,[kənˈsɪdərəbl],значительный
energy,[ˈenədʒi],энергия;энергетический
exchange,[ɪksˈtʃeɪndʒ],заменять;замена;обменивать;биржа;биржевой;инф)обмен;комм)станция
furious,[ˈfjʊə.ri.əs],взбешенный
madness,[ˈmæd.nəs],безумец
material,[məˈtɪəriəl],материал;вещество;данные;факты;материальный
mysterious,[mɪˈstɪəriəs],загадочный
surround,[səˈraʊnd],окружать
unhappy,[ʌnˈhæpi],неудачный;несчастливый
being,[ˈbiː.ɪŋ],быть;являться
gaze,[ɡeɪz],глядеть;пристально
gradual,[ˈɡrædʒuəl],постепенный
honest,[ˈɒnɪst],честный
mail,[meɪl],пересылать;почта
lodge,[lɒdʒ],домик
resolve,[rɪˈzɒlv],решать
situation,[ˌsɪtʃuˈeɪʃn],ситуация
army,[ˈɑːmi],армия;армейский
correct,[kəˈrekt],корректировать;правильно;правильный
heap,[hiːp],нагромождать;куча
immense,[ɪˈmens],огромный
local,[ˈləʊkl],локальный
barnacle,[ˈbɑː.nə.kl̩],прилипала
cling,[klɪŋ],цепляться
depth,[depθ],глубина;глубинный
handkerchief,[ˈhæŋ.kə.tʃiːf],платок
rapid,[ˈræpɪd],быстрый
stroke,[strəʊk],удар;штриховой
bang,[bæŋ],ударять;удар
list,[lɪst],указывать;список
pan,[pæn],промывать;инф)фото)панарамировать;сковорода;плавный
petunia,[pəˈtjuː.ni.ə],петуния
scatter,[ˈskæt.ər],разбрасывать;разброс;фрагментированный
scramble,[ˈskræm.bl̩],смешивать;бросаться;свалка
toss,[tɒs],подбрасывать;толчок
trade,[treɪd],торговать;торговля;торговый
traveller,[ˈtrævələ(r)],путешественник;дорожный
adventure,[ədˈventʃə(r)],рисковать;риск
clap,[klæp],хлопать
impatient,[ɪmˈpeɪʃnt],нетерпеливый
regular,[ˈreɡjələ(r)],регулярный
retire,[rɪˈtaɪə(r)],уходить в отставку
useful,[ˈjuːsfl],полезный
belt,[belt],ремень;лента;ленточный
brick,[brɪk],кирпич;брусок;кирпичный
forty,[ˈfɔːti],сорок;сорока
guy,[ɡaɪ],парень
intention,[ɪnˈtenʃn],намерение;стремление
monkey,[ˈmʌŋ.ki],обезьяна
nasty,[ˈnɑː.sti],противный
provide,[prəˈvaɪd],обеспечивать;предоставлять
assume,[əˈsjuːm],принимать
cigarette,[ˌsɪɡəˈret],сигарета;сигаретный
dollar,[ˈdɒlə(r)],доллар
groan,[ɡrəʊn],стонать;стон
inform,[ɪnˈfɔːm],сообщать;информировать
leader,[ˈliːdə(r)],лидер;начало
somewhat,[ˈsʌmwɒt],отчасти
dirty,[ˈdɜːti],грязный
elbow,[ˈelbəʊ],толкать;локоть
enormous,[ɪˈnɔːməs],огромный
monster,[ˈmɒn.stər],чудовище
recent,[ˈriːsnt],последний
shelter,[ˈʃeltə(r)],укрывать;защита
shift,[ʃɪft],перемещать;инф)сдвигать;перемещение;инф)сдвиг
stern,[stɜːn],твердый
supper,[ˈsʌp.ər],ужин
aloud,[əˈlaʊd],громко;вслух
damp,[dæmp],демпфировать;торможение;влажный;сырой
degree,[dɪˈɡriː],степень;градус;градусный
pink,[pɪŋk],розовый
relax,[rɪˈlæks],ослаблять;ослабевать;непринужденный
sooner,[suːn],раньше;скорее
younger,[jʌŋ],младший
fan,[fæn],раздувать;обмахивать;вентилятор;фанат
gas,[ɡæs],газ;газовый
temper,[ˈtem.pər],характер;настроение
cousin,[ˈkʌzn],кузен
famous,[ˈfeɪməs],знаменитый
leather,[ˈleðə(r)],кожа;кожанный
recover,[rɪˈkʌvə(r)],восстанавливать
regret,[rɪˈɡret],сожаление
satisfaction,[ˌsætɪsˈfækʃn],удовлетворение
sergeant,[ˈsɑː.dʒənt],сержант
smart,[smɑːt],умный
uneasy,[ʌnˈiː.zi],встревоженный
din,[dɪn],вдалбливать;грохот
fir,[ˈfɜːr],пихта;пихтовый
gesture,[ˈdʒes.tʃər],жест
previous,[ˈpriːviəs],предшествующий
pure,[pjʊə(r)],чистый
cabin,[ˈkæb.ɪn],кабина;хижина
moan,[məʊn],стонать;стон
pry,[praɪ],подглядывать;рычаг
winter,[ˈwɪntə(r)],зима;зимний
accident,[ˈæksɪdənt],авария;случайность;аварийный
alley,[ˈæl.i],аллея
endless,[ˈend.ləs],бесконечный
secure,[sɪˈkjʊə(r)],обеспечивать;закреплять;безопасный
telephone,[ˈtelɪfəʊn],комм)звонить;телефон;телефонный
earnest,[ˈɜː.nɪst],серьезный;задаток
flora,[ˈflɔː.rə],флора
flutter,[ˈflʌt.ər],развеваться;дрожание
frank,[fræŋk],откровенный
rare,[reə(r)],редкий
arise,[əˈraɪz],возникать
blade,[bleɪd],насаживать лопасть(лезвие);лопасть(лезвие)
despair,[dɪˈspeər],отчаяние
painful,[ˈpeɪnfl],болезненный
mum,[mʌm],мама
portrait,[ˈpɔː.trət],портрет;портретный
shame,[ʃeɪm],стыд;позор
skull,[skʌl],череп
solemn,[ˈsɒl.əm],торжественный
troll,[trəʊl],распевать;тролль
abyss,[əˈbɪs],пучина
blank,[blæŋk],пробел;бланк;чистый;пустой
brilliant,[ˈbrɪliənt],блестящий
hospital,[ˈhɒspɪtl],больница
passion,[ˈpæʃ.ən],страсть
paw,[pɔː],копать;лапа
sunset,[ˈsʌn.set],заход солнца
unfortunate,[ʌnˈfɔːtʃənət],неудачный
argue,[ˈɑːɡjuː],доказывать;спорить
display,[dɪˈspleɪ],отображать;показ;инф)дисплей;дисплейный
emotion,[ɪˈməʊʃn],чувство;волнение
infinite,[ˈɪn.fɪ.nət],бесконечный
rank,[ræŋk],ранжировать;ранг;ранговый
remote,[rɪˈməʊt],дистанционный
admire,[ədˈmaɪə(r)],восхищаться
contact,[ˈkɒntækt],обращаться к;контакт;контактный
curve,[kɜːv],изгибать;кривая
depart,[dɪˈpɑːt],уезжать
forever,[fərˈevə(r)],навсегда
hero,[ˈhɪərəʊ],герой
intelligence,[ɪnˈtelɪdʒəns],интеллект;воен)разведка
meanwhile,[ˈmiːnwaɪl],тем временем
ordinary,[ˈɔːdnri],обычный
peril,[ˈper.əl],риск
pony,[ˈpəʊ.ni],пони
risk,[rɪsk],рисковать;риск
shrug,[ʃrʌɡ],пожимать плечами;авто)дергаться
steep,[stiːp],крутой
switch,[swɪtʃ],переключать;выключать;ключ
chill,[tʃɪl],охлаждать;холод;простуда
extraordinary,[ɪkˈstrɔːdnri],поразительно;чрезвычайный
flesh,[fleʃ],плоть
imagination,[ɪˌmædʒɪˈneɪʃn],воображение
pin,[pɪn],прикалывать;штырек;штырьковый
pit,[pɪt],геол)шахта;косточка;яма
snarl,[snɑːl],рычать;рычание
yawn,[jɔːn],зевать
area,[ˈeəriə],область
balance,[ˈbæləns],балансировать;баланс;сбалансированный
declare,[dɪˈkleə(r)],объявлять;заявлять
witness,[ˈwɪtnəs],свидетельствовать;свидетель
advice,[ədˈvaɪs],совет;авизо;извещение
bowl,[bəʊl],чашка;кубок;унитаз
connection,[kəˈnekʃn],связь;соединение
demand,[dɪˈmɑːnd],требовать;требование;экон)спрос
fifteen,[ˌfɪfˈtiːn],пятнадцать;пятнадцати
relieve,[rɪˈliːv],облегчать;освобождать
tent,[tent],палатка
advantage,[ədˈvɑːntɪdʒ],преимущество;выгода
affection,[əˈfekʃn],любовь
bolt,[bəʊlt],скреплять;запирать;болт;удар
confuse,[kənˈfjuːz],спутывать
creak,[kriːk],скрипеть;скрип
deserve,[dɪˈzɜːv],заслуживать
nail,[neɪl],прибивать;гвоздь;ноготь
border,[ˈbɔːdə(r)],граничить;граница;край;граничный
cellar,[ˈsel.ər],подвал
footstep,[ˈfʊt.step],след;шаг
frightful,[ˈfraɪt.fəl],ужасный
jerk,[dʒɜːk],дергать;толчок
occupy,[ˈɒkjupaɪ],занимать
pet,[pet],баловать;домашнее;животное
reality,[riˈæləti],действительность
singular,[ˈsɪŋ.ɡjʊ.lər],единственный
succeed,[səkˈsiːd],получать;добиваться успеха;удаваться
survive,[səˈvaɪv],сохраняться;выживать
trouser,[ˈtraʊ.zər],брючный
tumble,[ˈtʌm.bl̩],обрушивать;падение
uniform,[ˈjuːnɪfɔːm],униформа;однородный;равномерный;единый
arch,[ɑːtʃ],свод;арка
crush,[krʌʃ],дробить;дробление
ease,[iːz],снижать;удобство
grateful,[ˈɡreɪtfl],благодарный
marsh,[mɑːʃ],болото;болотный
agent,[ˈeɪdʒənt],агент
custom,[ˈkʌstəm],обычай;потр)заказ;заказной
feast,[fiːst],праздник
fist,[fɪst],кулак
mass,[mæs],массировать;масса;месса;массовый
nameless,[ˈneɪm.ləs],безымянный
remarkable,[rɪˈmɑːkəbl],замечательно;замечательный
stamp,[stæmp],отмечать;марка;штамп;отметка
suspicious,[səˈspɪʃəs],подозрительный
insist,[ɪnˈsɪst],настаивать
marble,[ˈmɑː.bl̩],мрамор;мраморный
plane,[pleɪn],плоскость;самолет
plunge,[plʌndʒ],погружать;падение
refer,[rɪˈfɜː(r)],отсылать;ссылаться
unusual,[ʌnˈjuːʒuəl],необычный;необычно
bath,[bɑːθ],ванна
consciousness,[ˈkɒn.ʃəs.nəs],сознание
fate,[feɪt],судьба
hammer,[ˈhæmə(r)],заколачивать;молот
league,[liːɡ],лига;союз
mansion,[ˈmæn.ʃən],особняк
meat,[miːt],мясо;мясной
affect,[əˈfekt],влиять на
bench,[bentʃ],скамейка;верстак;станок
duke,[djuːk],герцог
grasp,[ɡrɑːsp],понимать;понимание;хватка
lantern,[ˈlæn.tən],фонарь
practical,[ˈpræktɪkl],практический
strip,[strɪp],удалять;полоса
weep,[wiːp],плакать
arrest,[əˈrest],останавливать;задержание
broom,[bruːm],метла
hark,[hɑːk],слушать
labour,[ˈleɪbə(r)],трудиться;труд;рабочий
limb,[lɪm],конечность
papa,[pəˈpɑː],папа
practice,[ˈpræktɪs],практиковать;практика
sensation,[senˈseɪ.ʃən],ощущение;сенсация
sin,[sɪn],грех
stride,[straɪd],шагать;большой;шаг
twilight,[ˈtwaɪ.laɪt],сумерки
buck,[bʌk],противодействовать;самец
center,[ˈsen.tər],центрировать;центр
discovery,[dɪˈskʌvəri],открытие;конт)страх)обнаружение
discuss,[dɪˈskʌs],обсуждать
pillar,[ˈpɪl.ər],колонна;столп
scale,[skeɪl],масштабировать;шкала;масштабный
startle,[ˈstɑː.tl̩],пугать;поражать
twin,[twɪn],двойной
whip,[wɪp],хлестать;взбивать;хлыст;кнут
acquaintance,[əˈkweɪn.təns],знакомство
false,[fɔːls],ложь;ложный
feather,[ˈfeðə(r)],перо
outer,[ˈaʊtə(r)],внешний
thumb,[θʌm],большой;палец;поворотный
urge,[ɜːdʒ],понуждать;убеждать
centre,[ˈsentə(r)],центрировать;центр;центральный
gloomy,[ˈɡluː.mi],мрачный
inquiry,[ɪnˈkwaɪə.ri],вопрос;запрос
nurse,[nɜːs],нянчить;сестра
prefer,[prɪˈfɜː(r)],предпочитать
sorrow,[ˈsɒr.əʊ],печаль;печальный
weird,[wɪəd],странный
astonish,[əˈstɒn.ɪʃ],удивлять
band,[bænd],связывать;полоса;оркестр;ленточный
brow,[braʊ],бровь
building,[ˈbɪldɪŋ],строить;инф)формировать;построение;здание;строительный
click,[klɪk],щелкать;щелчок
hush,[hʌʃ],успокаивать;тишина
jack,[dʒæk],джек;инф)гнездо;домкрат
palace,[ˈpæləs],дворец;дворцовый
palm,[pɑːm],ладонь;пальма
reflection,[rɪˈflek.ʃən],отражение
request,[rɪˈkwest],просить;инф)запрашивать;просьба;инф)запрос
sideway,[-],окольный;путь
slam,[slæm],захлопывать;хлопанье
sunlight,[ˈsʌn.laɪt],солнечный свет
unlike,[ˌʌnˈlaɪk],в отличие от
explanation,[ˌekspləˈneɪʃn],объяснение
farewell,[ˌfeəˈwel],прощание;прощальный
ham,[hæm],ветчина
health,[helθ],здоровье
limit,[ˈlɪmɪt],ограничивать;предел
uncomfortable,[ʌnˈkʌmftəbl],неудобный
accompany,[əˈkʌmpəni],сопровождать
citizen,[ˈsɪtɪzn],гражданин
deny,[dɪˈnaɪ],отвергать;отрицать
distinct,[dɪˈstɪŋkt],четкий
example,[ɪɡˈzɑːmpl],пример
grant,[ɡrɑːnt],предоставлять;дар;конт)предоставление;субсидия;стипендия
nearby,[ˌnɪəˈbaɪ],соседний
cell,[sel],ячейка;мед)клетка
extra,[ˈekstrə],дополнительный
lunch,[lʌntʃ],завтракать;ленч
platform,[ˈplætfɔːm],платформа
polish,[ˈpɒlɪʃ],шлифовать;отделка;польский
possession,[pəˈzeʃn],владение
stain,[steɪn],пятнать;пятно
suggestion,[səˈdʒestʃən],предложение
theory,[ˈθɪəri],теория
cage,[keɪdʒ],помещать в клетку;клетка
cart,[kɑːt],повозка
incline,[ɪnˈklaɪn],отклоняться
introduce,[ˌɪntrəˈdjuːs],вводить;представлять
mortal,[ˈmɔː.təl],смертельный
needle,[ˈniːdl],игла
nonsense,[ˈnɒnsns],бессмыслица
price,[praɪs],оценивать;цена
absence,[ˈæbsəns],отсутствие;отсутствующий
pen,[pen],сочинять;ручка;загон
social,[ˈsəʊʃl],общественный;социальный
stock,[stɒk],акция;запас;фондовый
sufficient,[səˈfɪʃnt],достаточный
faster,[fɑːst],быстрее;более быстрый
hello,[həˈləʊ],привет
hook,[hʊk],перехватывать;захват;рычажный
inner,[ˈɪnə(r)],внутренний
nightmare,[ˈnaɪt.meər],кошмар
process,[ˈprəʊses],обрабатывать;процесс
sparkler,[ˈspɑː.klər],шутиха
venture,[ˈventʃə(r)],осмеливаться;предприятие
basket,[ˈbɑː.skɪt],корзина
chap,[tʃæp],трещина
chimney,[ˈtʃɪm.ni],труба
lett,[-],латыш
link,[lɪŋk],связывать;связь;прес)ссылка
milk,[mɪlk],доить;молоко;молочный
persuade,[pəˈsweɪd],убеждать
similar,[ˈsɪmələ(r)],аналогичный;подобный
skill,[skɪl],умение
subtle,[ˈsʌt.əl],тонкий
sway,[sweɪ],"колебаться,отклоняться;колебание"
tread,[tred],идти;шаг
bold,[bəʊld],жирный шрифт;смелый
cake,[keɪk],спекаться;торт;кусок
carve,[kɑːv],резать
female,[ˈfiːmeɪl],самка;женщина;женский
physical,[ˈfɪzɪkl],медицинский;осмотр;физический
purple,[ˈpɜːpl],пурпурный
silk,[sɪlk],шелк;шелковый
stoop,[stuːp],наклонять
tick,[tɪk],тикать;метка
value,[ˈvæljuː],оценивать;величина;значение
bush,[bʊʃ],кустарник;буш
deliver,[dɪˈlɪvə(r)],доставлять
feeble,[ˈfiː.bl̩],хилый
gift,[ɡɪft],дар (подарок);артс)талант
hey,[heɪ],эй
pattern,[ˈpætn],формировать;образец
realm,[relm],область
represent,[ˌreprɪˈzent],представлять
seldom,[ˈsel.dəm],редко
smaller,[smɔːl],меньше;меньший
thorough,[ˈθʌrə],тщательный
base,[beɪs],базировать;база;базовый
demon,[ˈdiː.mən],демон
fragment,[ˈfræɡ.mənt],фрагментировать;фрагмент
gay,[ɡeɪ],веселый
mood,[muːd],настроение
preserve,[prɪˈzɜːv],сохранять
tender,[ˈten.dər],предлагать;предложение;нежный;тендерный
unable,[ʌnˈeɪbl],не в состоянии
unconscious,[ʌnˈkɒnʃəs],бессознательный
abandon,[əˈbændən],покидать;отказываться от
distress,[-],беспокоить;авария;огорчение
ere,[eər],перед;прежде чем
spite,[spaɪt],злость
french,[frentʃ],французский;по-французски;франко
perceive,[pəˈsiːv],воспринимать
property,[ˈprɒpəti],собственность;свойство
statue,[ˈstætʃuː],статуя
toe,[təʊ],палец ноги
cost,[kɒst],стоить;стоимость
cottage,[ˈkɒtɪdʒ],коттедж;домашний
develop,[dɪˈveləp],разрабатывать;разработка;фото)проявлять
individual,[ˌɪndɪˈvɪdʒuəl],личность;индивидуальный
intent,[ɪnˈtent],намерение;пристальный
scholar,[ˈskɒl.ər],ученый
tide,[taɪd],прилив и отлив;поток;течение
barrel,[ˈbær.əl],бочка;баррель;барабанный
bundle,[ˈbʌn.dl̩],связывать в узел;пучок
partner,[ˈpɑːtnə(r)],партнер
photograph,[ˈfəʊtəɡrɑːf],фотографировать;фотография
pierce,[pɪəs],прокалывать
scent,[sent],аромат;запах;духи
daylight,[ˈdeɪ.laɪt],дневной;свет
official,[əˈfɪʃl],чиновник;официальный
propose,[prəˈpəʊz],предлагать;предложение
relation,[rɪˈleɪʃn],отношение
sensible,[ˈsensəbl],значительный
terrify,[ˈter.ə.faɪ],ужасать
threaten,[ˈθretn],угрожать
ash,[æʃ],зола;пепел;ясень
chase,[tʃeɪs],гнаться;погоня
eyebrow,[ˈaɪ.braʊ],бровь
fruit,[fruːt],плод;фрукт;фруктовый
grief,[ɡriːf],горе
market,[ˈmɑːkɪt],экон)реализовать;рынок;рыночный
mask,[mɑːsk],маскировать;маска
melt,[melt],плавить;таять;плавка
midst,[mɪdst],среди
player,[ˈpleɪə(r)],игрок
restore,[rɪˈstɔː(r)],восстанавливать;восстановление
rouse,[raʊz],будить
sleeve,[sliːv],рукав
tomb,[tuːm],могила
yield,[jiːld],давать;уступать;сдаваться;продукт
bore,[bɔː(r)],сверлить;бурить;надоедать;отверстие;зануда
collar,[ˈkɒl.ər],воротник
consequence,[ˈkɒnsɪkwəns],последствие;последовательность
foreign,[ˈfɒrən],иностранный
greet,[ɡriːt],приветствовать
range,[reɪndʒ],колебаться;дипазон;область
rescue,[ˈreskjuː],спасать;освобождение
champion,[ˈtʃæm.pi.ən],чемпион
depend,[dɪˈpend],зависеть
drown,[draʊn],тонуть
eventual,[ɪˈven.tju.əl],возможный
filch,[fɪltʃ],стащить
foul,[faʊl],грязный;бесчестный
goodness,[ˈɡʊd.nəs],хорошее;качество
holiday,[ˈhɒlədeɪ],праздник
